pdiv,longitude,latitude,county,grid_id,land_surface_elevation_m,hydraulic_conductivity_mday,specific_yield,saturated_thickness_1945_m,average_saturated_thickness_2018_2020_m,bedrock_m,bedrock_depth_m,B,x_meters,y_meters,logB
88416,-100.58858,39.44216,SD,34013,877.5390075646998,80.74761600000001,0.0633,35.134822851560976,16.305200097655398,805.475448632814,71.9328,0.0020298853150159672,363298.904699522,4367049.535594284,-6.199775982590373
160,-100.613,39.43699,SD,34370,882.4605020001683,100.327968,0.0656,39.453740625,18.606045703125,809.229563671875,73.152,0.001649715015431583,361187.1333137509,4366513.038146868,-6.407152723907358
85835,-100.7213,39.32869,TH,39759,900.4343262451713,90.498168,0.0646,32.42127685546921,12.190660546875,840.7802704101556,59.7408,0.001820331247334092,351637.24046289094,4354665.337536827,-6.308736790424437
793,-100.5595,39.40151,SD,36176,874.2653824669145,88.474296,0.0574,41.59796323242226,15.570751904297287,794.5014766113278,79.8576,0.00187152111663298,365723.42957607936,4362494.218953393,-6.281003747417093
86209,-100.5486,39.3859,SD,36897,874.5738659097301,73.642728,0.0603,39.68334521484421,17.646587988280547,792.4795535156251,81.9912,0.0022204953496291033,366632.2645193815,4360745.555859078,-6.110024977524288
1077,-100.5622,39.43719,SD,34376,871.1058077214366,77.629512,0.0589,36.06555673828049,17.117466796875,797.1699834960945,74.0664,0.0021151389998899104,365559.5204881453,4366458.262119207,-6.158634747655288
84315,-100.5482,39.43351,SD,34737,866.9341453082742,79.927704,0.0598,37.68862045898323,16.756744628905548,794.5284703125001,72.5424,0.002055871472918991,366757.3839108146,4366029.048838642,-6.187055446514945
1108,-100.5998,39.44453,SD,34012,875.1046645997902,89.73312,0.0657,35.238183984375,16.572532617189026,807.297328125,67.6656,0.0018333507843598946,362338.0155495064,4367329.649178721,-6.301609956715364
81865,-100.5973,39.37518,SD,37612,883.5855520022274,60.103512,0.0631,39.72710068359421,17.389140136718375,804.0727063476556,79.5528,0.0026841311331293445,362416.8873086913,4359628.861114495,-5.920398203715458
1370,-100.7304,39.30727,TH,40838,906.827004670903,85.133688,0.074,30.65230576171921,12.684993164063872,846.0717055664056,60.6552,0.001914578828791802,350807.33620907395,4352302.9698801255,-6.258257613284076
80684,-100.7634,39.32113,TH,40114,908.6214298475712,48.655224,0.0655,32.01378544921646,17.419141406250002,851.4155654296891,57.302400000000006,0.003270507213076322,347991.9502706677,4353896.231139096,-5.722810195068933
1779,-100.7445,39.34324,TH,39036,908.133670599556,86.91981600000001,0.0763,37.94706049804695,18.862811425783445,841.8879981445306,66.1416,0.0018742344213342327,349668.6335817252,4356318.552734865,-6.279555011562168
7478,-100.552,39.40855,SD,35817,873.8873253979624,81.09204000000001,0.0611,40.044197607422255,14.560301953125,793.679108203125,80.1624,0.0020255848117075323,366382.666739836,4363264.432733039,-6.201896824212191
2252,-100.68309,39.40113166,SD,36163,900.5548446919328,71.908416,0.0715,43.07259570312368,20.83192534179621,820.8239195312511,79.8576,0.002250171283418221,355080.6814163474,4362643.424896352,-6.096748939699588
77596,-100.6703,39.38247,SD,37244,900.6704798697683,74.43216,0.0643,45.7533375,19.28146494140555,818.155381640625,82.6008,0.002190581571851663,356143.6722846,4360551.744582783,-6.123588212484858
2360,-100.4735,39.41188,SD,35825,857.464960361285,60.265056,0.0461,36.14644482421921,19.470290625,776.48990625,81.0768,0.002723385761746083,373147.3533515316,4363520.704832457,-5.905879407404495
46872,-100.6061,39.35738,SD,38331,879.8258966581099,51.880008,0.0597,41.108486132810974,17.599967578125,806.209320117189,73.7616,0.0030939566337373865,361623.7275490293,4357666.74478184,-5.77830454317468
2377,-100.612,39.41896,SD,35450,879.7171094315669,80.83905600000001,0.0545,41.384785546875,19.09810869140555,807.34941796875,72.2376,0.0020440850983046662,361237.43006729207,4364510.388401007,-6.192804974285856
16412,-100.5943,39.36113,SD,38332,874.8240234127547,46.439328,0.0599,40.08399052734421,18.170035107422137,804.2599321289056,70.7136,0.0034347041488478175,362647.77510604233,4358064.932234648,-5.673824485445674
2782,-100.6879,39.40839,SD,35802,905.3911019245176,84.646008,0.0724,43.05430224609421,21.836211328125,822.6176953125,82.9056,0.0019272927201611557,354681.57134307764,4363456.751480005,-6.251638996487823
31930,-100.5791,39.36269,SD,37974,877.8416670460537,52.925472,0.0601,41.632863427733234,20.565591210935978,797.6223837890641,80.1624,0.003035057628536954,363960.3793879739,4358215.064664274,-5.797524866665128
2828,-100.5224,39.42274,SD,35100,863.5942469199726,76.19695200000001,0.0663,41.070311718750006,18.407620605469425,785.975466796875,77.724,0.0021390105392732977,368957.7337460751,4364795.916474748,-6.147411921697515
35096,-100.5405,39.35752,SD,38338,863.850578030783,80.336136,0.0581,35.945117578125,20.161690283202685,791.3948941406251,72.5424,0.0020491545117258827,367276.1472059694,4357583.83437882,-6.190328004210276
3504,-100.59812,39.44079,SD,34372,881.3047638888347,91.604592,0.0662,35.50533046875,15.676512890625,807.3043230468751,74.0664,0.0017971562068583987,362475.2285125836,4366911.990300069,-6.32154974849316
26685,-100.5276,39.36482,SD,37979,863.4024240179448,84.81060000000001,0.0534,33.96440126953049,17.292451464844575,791.7087354492195,71.628,0.00195548974838313,368401.3193005552,4358375.1542872405,-6.237114606235462
3530,-100.6236,39.41049,SD,35809,885.7558668391393,63.246,0.0537,42.8783005859377,20.66391699218795,807.615349023437,78.0288,0.002580441432168951,360221.92002492707,4363588.231304389,-5.959794796944257
18097,-100.5255,39.35873,SD,38339,859.071509697838,78.556104,0.0609,34.902725390625,19.676938476560977,790.1720478515641,68.8848,0.0020877673713304208,368570.8211766714,4357696.192970135,-6.171660027366619
3595,-100.6338,39.38615,SD,36888,895.147930525227,78.129384,0.0646,44.60646796875,18.97313027343888,809.5678872070306,85.64880000000001,0.0020918787918458056,359294.83454285207,4360902.647095016,-6.169692673346221
40527,-100.5113,39.37589,SD,37621,860.5833046283249,80.674464,0.0512,29.70244746093598,11.731916455077684,792.4779908203141,67.9704,0.0020548778207903143,369826.1474598763,4359580.141344177,-6.1875388874046875
3724,-100.6127,39.42999,SD,34730,883.3089569712721,103.619808,0.0628,40.930190039060975,19.0363450195304,807.7854099609391,75.5904,0.0016037831258189671,361199.0585677452,4365735.66073833,-6.435389987021576
4011,-100.5162,39.37568,SD,37620,858.6468009882853,78.85785600000001,0.0495,32.11591875,14.03782221679424,792.4583455078141,66.1416,0.0021034474336291916,369403.6815798872,4359563.910323924,-6.164177645201174
18337,-100.5486,39.37572,SD,37617,871.7051685840556,63.943992,0.0511,38.71384160156098,19.056771679685976,792.5985416015641,79.248,0.002560654291849742,366612.88456712925,4359615.714911165,-5.9674924703925685
4022,-100.5237,39.40849,SD,35820,864.2891956763156,80.30565600000001,0.0604,40.786422070313726,18.200972753908445,785.6623696289056,78.6384,0.002045615885782232,368819.1180883549,4363216.245399482,-6.192056368187264
23308,-100.5565,39.37093,SD,37616,871.3599950014338,55.64124,0.0525,41.67444228515549,20.71693081054729,792.7021631835945,78.6384,0.0029163567991354255,365923.2290743263,4359095.791449712,-5.837420113221049
4201,-100.62682,39.39390666,SD,36529,888.9207464932923,74.892408,0.0599,42.52477177734421,18.816042187500003,808.3954192382806,80.4672,0.0021862158298067828,359911.5098930012,4361752.680903494,-6.125583161344557
13564,-100.5625,39.37518,SD,37616,871.3599950014338,55.64124,0.0525,41.67444228515549,20.71693081054729,792.7021631835945,78.6384,0.0029163567991354255,365414.52651781816,4359576.409667799,-5.837420113221049
5215,-100.4697,39.40819,SD,35825,857.464960361285,60.265056,0.0461,36.14644482421921,19.470290625,776.48990625,81.0768,0.002723385761746083,373467.8361263529,4363105.830256172,-5.905879407404495
24456,-100.5539,39.3793,SD,37256,876.0045820610347,56.531256,0.054,42.1665796875,20.25334980468597,792.434533007814,83.51520000000001,0.002868518195121204,366163.1905158283,4360020.8893683255,-5.853959690863782
5333,-100.604,39.47738,SD,32571,860.9074601908491,102.315264,0.0618,27.559917773439025,13.390829150391708,815.669654296875,45.110400000000006,0.0016245240166760946,362041.4766281996,4370982.037661959,-6.422540418922485
45420,-100.5957,39.37555,SD,37612,883.5855520022274,60.103512,0.0631,39.72710068359421,17.389140136718375,804.0727063476556,79.5528,0.0026841311331293445,362555.4357512428,4359667.489291508,-5.920398203715458
5391,-100.7632,39.3208,TH,40114,908.6214298475712,48.655224,0.0655,32.01378544921646,17.419141406250002,851.4155654296891,57.302400000000006,0.003270507213076322,348008.4772528232,4353859.268870397,-5.722810195068933
26450,-100.6032,39.37551,SD,37611,886.9728012911828,64.44996,0.0647,40.186942382810976,16.3548962890599,806.491051757814,80.4672,0.002509259174808078,361909.3162007381,4359674.494013402,-5.987767718882478
5989,-100.569,39.46827,SD,32935,847.013984533727,69.927216,0.0444,35.776346484375004,20.675947265625,798.6792867187501,48.4632,0.002370636873232425,365034.3347921361,4369917.924424057,-6.044596637051744
71336,-100.5803,39.39169,SD,36534,882.2659085540387,74.295,0.0561,41.45540449218903,17.759027636719424,798.37151015625,83.82000000000001,0.0022106421819675045,363913.328689224,4361435.4845489375,-6.114472225586895
6056,-100.7231,39.31163,TH,40478,902.1624216732588,82.4484,0.0698,31.166990625,12.865484472655549,845.16843046875,56.997600000000006,0.0019797644960996377,351445.99205677165,4352774.852725609,-6.224777382713597
37968,-100.5795,39.3937,SD,36534,882.2659085540387,74.295,0.0561,41.45540449218903,17.759027636719424,798.37151015625,83.82000000000001,0.0022106421819675045,363986.1275754529,4361657.362243726,-6.114472225586895
6097,-100.5622,39.44376,SD,34016,868.8692374873012,76.114656,0.0543,35.87110039062673,17.81720703125197,797.3896662109371,71.628,0.0021643921071095033,365572.1540150864,4367187.450247279,-6.135615738889876
11070,-100.5785,39.39369,SD,36534,882.2659085540387,74.295,0.0561,41.45540449218903,17.759027636719424,798.37151015625,83.82000000000001,0.0022106421819675045,364072.2244310054,4361654.745814056,-6.114472225586895
6348,-100.5289,39.38665,SD,36899,865.8687914917551,75.5904,0.0519,35.46313769531372,15.101961914063873,791.7097028320306,74.0664,0.00218388251726212,368330.34742646094,4360799.87488698,-6.126651015008744
61523,-100.557781,39.39376,SD,36536,877.8887332662142,81.527904,0.0601,42.17398388671951,17.4238294921861,793.4652049804695,84.42960000000001,0.0020171267012222957,365856.5998663269,4361631.515263534,-6.206081205313489
