year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.6445,3904.3938,0.4226,0.6726,0.3274,0.0,69.0,228.0,39.0
2013,18.3883,2672.8781,0.3929,0.5893,0.4107,65.0,1.0,267.0,3.0
2014,18.2395,2348.7819,0.4375,0.5744,0.4256,30.0,0.0,306.0,0.0
2015,18.098,2326.6522,0.4077,0.5565,0.4435,122.0,1.0,164.0,49.0
2016,17.8834,2547.4144,0.4256,0.5952,0.4048,121.0,37.0,169.0,9.0
2017,17.906,1830.6888,0.4345,0.6042,0.3958,129.0,29.0,164.0,14.0
2018,17.7452,2385.0826,0.4375,0.6518,0.3482,38.0,0.0,298.0,0.0
2019,17.9113,1397.1627,0.4494,0.6964,0.3036,141.0,1.0,188.0,6.0
2020,17.6628,2649.7405,0.4167,0.6637,0.3363,162.0,51.0,123.0,0.0
2021,17.4926,2413.554,0.4405,0.6339,0.3661,75.0,0.0,261.0,0.0
2022,17.2288,2695.8171,0.4107,0.6518,0.3482,28.0,48.0,260.0,0.0
