year,GW_st,withdrawal,rainfed,corn,others,Imitation,Social comparison,Repetition,Deliberation
2012,18.7764,3505.7301,0.4167,0.6726,0.3274,0.0,72.0,264.0,0.0
2013,18.5955,2445.7316,0.4048,0.6726,0.3274,72.0,0.0,264.0,0.0
2014,18.6341,1782.4053,0.4137,0.6667,0.3333,0.0,0.0,336.0,0.0
2015,18.7637,1507.4592,0.4881,0.6667,0.3333,141.0,0.0,184.0,11.0
2016,18.8261,1710.7996,0.3958,0.5923,0.4077,144.0,34.0,127.0,31.0
2017,19.1655,873.6686,0.5208,0.6726,0.3274,131.0,0.0,205.0,0.0
2018,19.2726,1575.5867,0.4256,0.6786,0.3214,19.0,0.0,317.0,0.0
2019,19.6759,680.4543,0.5089,0.7143,0.2857,143.0,0.0,193.0,0.0
2020,19.498,2436.5395,0.4077,0.6488,0.3512,92.0,0.0,244.0,0.0
2021,19.5447,1758.2666,0.4405,0.622,0.378,7.0,0.0,329.0,0.0
2022,19.3146,2594.1939,0.3899,0.622,0.378,36.0,0.0,300.0,0.0
